Title,Description,URL
'Pfizer/BioNTech's Covid19 vaccine' for sale on the dark web,"COVID-19 has wreaked havoc across the world and infections are showing no signs of slowing. Just yesterday, the USA reported 218,576 new cases and 2,918 new deaths. Thankfully there are a number of promising vaccines, with Pfizer/BioNTech’s the first to be ma…",https://betanews.com/2020/12/04/pfizer-biontech-covid19-vaccine-dark-web/
The importance of matching data,"Kaiser shows an example of matching dates in data processing, using covid19 data from Illinois and Iowa.",https://junkcharts.typepad.com/numbersruleyourworld/2020/12/the-importance-of-matching-data.html
Contrarian Take: Covid Vaccine & the End of Anti-Vaxxers,The modern Anti-Vaxxer movement of recent years traces its origins to a paper published in The Lancet in 1998 by (then Dr.) Andrew Wakefield linking 12 children who developed autism soon after vaccine administration. We later learn that Wakefield was funded b…,https://ritholtz.com/2020/12/contrarian-take-covid-vaccine-the-end-of-anti-vaxxers/
"California COVID-19 crackdown: Shelter-in-place orders, quarantines and more",California is dealing with a major resurgence of coronavirus cases that is overwhelming its emergency rooms. California Governor Gavin Newsom has now issued the authorization for local governments to issue stay-at-home orders that match the strictest shutdown…,http://thepointsguy.com/guide/california-covid-19-shelter-in-place-quarantine-what-you-need-to-know/
Interactive - Your Vax Priority,"Find Your Place in the Vaccine Line interactive NYT piece. CDC advises people to wear masks indoors at all times, except at home 

Obituary provides a scathing critique of those who choose not to wear masks 

Vax distribution

This would be a fine thread to a…",https://www.metafilter.com/189609/Interactive-Your-Vax-Priority
Stop The Spread Solutions Now Offers COVID-19 Rapid Test Kits,LONDON--(BUSINESS WIRE)-- #covid19--Stop The Spread Solutions now offers Rapid SARS-CoV-2 Antigen Test kits. Results are available within 15 minutes.,https://www.businesswire.com/news/home/20201204005532/en/Stop-The-Spread-Solutions-Now-Offers-COVID-19-Rapid-Test-Kits
How Plastic Barrier Chains are Effective in the COVID-19,The plastic safety chains help people keep distancing from the crowd. Social distancing helps reduce the risk of making contact with contaminated surf,https://visual.ly/community/Infographics/business/how-plastic-barrier-chains-are-effective-covid-19
Vornado Announces Dividend On Series N Cumulative Redeemable Preferred Shares,"NEW YORK, Dec. 04, 2020 (GLOBE NEWSWIRE) -- VORNADO REALTY TRUST (NYSE:VNO) announced today a dividend on its recently issued Series N Cumulative Redeemable ...",https://finance.yahoo.com/news/vornado-announces-dividend-series-n-214300529.html
COVID-19 shuts down Dallas bars and lowers restaurant capacity - CultureMap Dallas,"<ol><li>COVID-19 shuts down Dallas bars and lowers restaurant capacity  CultureMap Dallas
</li><li>Roll Back: DFW Bars Close, Businesses Reduce Capacity as COVID-19 Hospitalizations Hit 7-Day Mark  NBC 5 Dallas-Fort Worth
</li><li>Getting vaccines into our …",https://dallas.culturemap.com/news/restaurants-bars/12-03-20-covid-19-closure-bars/
Manitoba's Premier: 'I'm The Guy Who Is Stealing Christmas',"The Canadian province of Manitoba has some of the harshest measures anywhere in North America to deal with COVID-19. Not wearing a mask? Fines of $1000 aren't uncommon. Large house party? Fines of $100,000. Opening a non-essential business in a time of lockdo…",https://crooksandliars.com/2020/12/manitobas-premier-im-guy-who-stealing
"Anil Kapoor tests NEGATIVE; Varun Dhawan, Neetu Kapoor test positive amid Jug Jug Jeeyo shoot - India TV News","<ol><li>Anil Kapoor tests NEGATIVE; Varun Dhawan, Neetu Kapoor test positive amid Jug Jug Jeeyo shoot  India TV News
</li><li>BREAKING! Varun Dhawan, Neetu Kapoor and Raj Mehta test positive amid the filming of Jug Jugg Jeeyo in Chandigarh  Bollywood Hungama…",https://www.indiatvnews.com/entertainment/celebrities/anil-kapoor-covid-negative-hug-jug-jeeyo-stars-varun-dhawan-neetu-kapoor-coronavirus-positive-latest-update-669257
