Title,Description,URL
"NESG commends Giving.ng, Shell, others for supporting #NES26","Giving.ng, a crowd-funding platform has been commended by Nigerian Economic Summit Group (NESG) alongside other partners like Shell, Flour Mills and Nestle for supporting the recently concluded Nigeria Economic Summit (#NES26). 
The post NESG commends Giving.…",https://www.vanguardngr.com/2020/12/nesg-commends-giving-ng-shell-others-for-supporting-nes26/
We need partnership to restore Nigeria’s economy on path of growth – NESG#26,"The 26th edition of the Nigerian Economic Summit (NES#26) has ended with participants from both public and private sectors calling for a stronger partnership to restore the weak Nigerian back on the path of growth.
The post We need partnership to restore Nige…",https://www.vanguardngr.com/2020/11/we-need-partnership-to-restore-nigerias-economy-on-path-of-growth-nesg26/
Population can only be controlled through education of girl-child — El-Rufai,"Kaduna State Governor, Mallam Nasir El-Rufai believes that the best way population can be controlled is through the education of the girl-child. He stated this while responding to questions at a panel discussion of the ongoing 26th Nigerian Economic Summit (N…",https://www.vanguardngr.com/2020/11/population-can-only-be-controlled-through-education-of-girl-child-el-rufai/
Recession won’t  last long – FG,"Blames COVID-19 … Adopt Chinese model to restore economic growth  – NESG By Emma Ujah, Abuja Bureau Chief & Emmanuel Elebeke The current recession will not last long, the federal government has said.  Addressing the 26th Nigerian Economic Summit (NES#26) orga…",https://www.vanguardngr.com/2020/11/recession-wont-last-long-fg/
Recession won’t last long — FG,"Blames COVID-19 Adopt Chinese model to restore economic growth — NESG By Emma Ujah & Emmanuel Elebeke The current recession will not last long, the federal government has said. Addressing the 26th Nigerian Economic Summit (NES#26) organised by the Nigerian Ec…",https://www.vanguardngr.com/2020/11/recession-wont-last-long-fg-2/
Nigeria’s economy at critical juncture — World Bank,"…Recession won’t last long — FG …Adopt Chinese model to restore economic growth — NESG By Emma Ujah, Abuja Bureau Chief & Emmanuel Elebeke The World Bank said yesterday that Nigeria was at a critical juncture, following the recession of the economy declared w…",https://www.vanguardngr.com/2020/11/nigerias-economy-at-critical-juncture-world-bank/
FG set to float N15trn Infrastructure Fund,"The Federal Government has commenced moves to create a N15 trillion Infrastructure Company (InfraCo) Fund in collaboration with the Central Bank of Nigeria (CBN), Nigerian Sovereign Wealth Investment Authority (NSIA) and other stakeholders, to bridge the nati…",https://www.vanguardngr.com/2020/11/fg-set-to-float-n15trn-infrastructure-fund/
Governors meet tomorrow to come up with a new national security order,"Water Bill, Stamp Duties, other top Agenda. By Henry Umoru GOVERNORS of the thirty-six states of the country under the aegis of the Nigeria Governors Forum, NGF will be meeting tomorrow, with evolving a new national security order that will ensure the safety …",https://www.vanguardngr.com/2020/11/governors-meet-tomorrow-to-come-up-with-a-new-national-security-order/
Governors meet tomorrow to create new national security order,"Water Bill, Stamp Duties, other top Agenda. By Henry Umoru GOVERNORS of the thirty-six states of the country under the aegis of the Nigeria Governors Forum, NGF will be meeting tomorrow, with evolving a new national security order that will ensure the safety …",https://www.vanguardngr.com/2020/11/governors-meet-tomorrow-to-create-new-national-security-order/
"Selfish Northerners opposing restructuring, says Gov El-Rufai","…Discloses why APC stepped down restructuring bill in 2018 …Says APC still committed to restructuring  …Notes opposition elements don’t represent North …Advocates for state police, state judicial autonomy …It’s game to hoodwink the unwary—Afenifere …It’s all …",https://www.vanguardngr.com/2020/11/selfish-northerners-opposing-restructuring-says-gov-el-rufai/
Governors to meet with Buhari to address security challenges,"…Direct State Attorney Generals to Review the Water Resources Bill, Report back …Urge FG, ASUU to hasten Implementation of Resolutions …Say Stamp Duties belong to States. By Henry Umoru GOVERNORS of the thirty six states under the aegis of the Nigeria Governo…",https://www.vanguardngr.com/2020/12/governors-to-meet-with-buhari-to-address-security-challenges/
Why FG stepped down restructuring of Nigeria by El-Rufai,"Says opposition elements don’t represent North Urges CSOs to mount pressure on Govt. Advocates for State Police, State Judicial Autonomy By Emmanuel Elebeke The Kaduna State Governor and Chairman, APC restructuring committee, Mallam Nasir El-Rufai has reveale…",https://www.vanguardngr.com/2020/11/why-fg-stepped-down-restructuring-of-nigeria-by-el-rufai/
Analysts Back Govt's Forecast of Quick Exit From Recession,"[This Day] Abuja and Lagos -- Analysts yesterday described the federal government's projection that the economy, which slipped into a recession in the third quarter of 2020, will recover latest by the first quarter of 2021 as realistic.",https://allafrica.com/stories/202011240398.html
"History, recession and a sector in steady decay",By Jerome-Mario Utomi You cannot bring about prosperity by discouraging thrift. You cannot keep out of trouble by spending more than you earn. You cannot build character and courage by taking away man’s initiative and independence. You cannot help men permane…,https://www.vanguardngr.com/2020/11/history-recession-and-a-sector-in-steady-decay/
"Selfish Northerners Opposing Restructuring, Says Governor El-Rufai","[Vanguard] The Kaduna State Governor and Chairman, All Progressives Congress, APC, Restructuring Committee, Mallam Nasir El-Rufai, yesterday took a swipe at Northerners opposed to restructuring of the country, saying they were doing so for selfish reasons.",https://allafrica.com/stories/202011250364.html
"Insecurity - Governors to Meet Buhari, Want Firmer Action",[This Day] Abuja -- Governors of the 36 states of the federation ended their meeting late on Thursday in Abuja with a resolve to meet with President Muhammadu Buhari over raging insecurity in the country.,https://allafrica.com/stories/202012050166.html
"How Nigeria's New Banks Law, Bofia, Will Impact Financial Sector","[Premium Times] In assenting into law of the BOFIA 2020, President Muhammadu Buhari said the new legislation represents a ""monumental piece of legislation expected to enhance the soundness and resilience of the financial system.""",https://allafrica.com/stories/202011180068.html
Nigeria’s exit from recession will be ‘historically fast’; Finance Minister,"The Nigerian government is working towards reversing the declining trend in the country’s economy, the Minister of Finance, Budget and National Development,...
The post Nigeria’s exit from recession will be ‘historically fast’; Finance Minister appeared first…",https://thechronicle.com.gh/nigerias-exit-from-recession-will-be-historically-fast-finance-minister/
Nigeria: Buhari's Anti-Corruption War and the Economy,"[This Day] It has been five and a half years since President Muhammadu Buhari took over as leader of Africa's largest economy. Propelled to power over the then incumbent on the promise of ending corruption and growing the economy, Buhari's last five years has…",https://allafrica.com/stories/202011290037.html
Why Restructuring Bill was stepped down in 2018 ― El-Rufai,"***Urges CSOs to mount pressure on Govt. ***Advocates for State Police, State Judicial Autonomy By Emmanuel Elebeke The Kaduna State Governor and Chairman, APC restructuring committee, Mallam Nasiru  El-Rufai has revealed that the draft bill produced and subm…",https://www.vanguardngr.com/2020/11/why-restructuring-bill-was-stepped-down-in-2018-―-el-rufai/
